Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population,AlphaCode,Numeric code
107,Afghanistan,208545,7882,186088,14575,1188898,40754388,AFG,4
97,Albania,334167,3595,328951,1621,1941032,2866374,ALB,8
102,Algeria,271378,6881,182749,81748,230861,45350148,DZA,12
141,Andorra,47839,165,47563,111,249838,77463,AND,20
121,Angola,105184,1931,103216,37,1499795,35027343,AGO,24
182,Antigua and Barbuda,9106,146,8954,6,18901,99509,ATG,28
14,Argentina,10037135,130421,9877032,29682,35716069,46010234,ARG,32
91,Armenia,446008,8717,435162,2129,3242901,2971966,ARM,51
144,Aruba,43993,236,42438,1319,177885,107609,ABW,533
13,Australia,11295446,18615,11235771,4106,78835048,26068792,AUS,36
22,Austria,5780229,21689,5730189,28351,211273524,9066710,AUT,40
74,Azerbaijan,827944,10085,817654,205,7487550,10300205,AZE,31
148,Bahamas,37491,833,36366,292,257839,400516,BHS,44
75,Bahrain,700452,1543,6984,509,10682444,1783983,BHR,48
46,Bangladesh,2037556,29442,1992694,1542,15247014,167885689,BGD,50
120,Barbados,106157,571,10557,16,790354,288023,BRB,52
71,Belarus,994037,7118,985592,1327,13646641,9432800,BLR,112
30,Belgium,4691499,33557,4644681,13261,36548544,11668278,BEL,56
131,Belize,7066,688,69949,23,576016,41219,BLZ,84
154,Benin,27989,163,27823,3,60431,12784726,BEN,204
163,Bermuda,18766,157,18593,16,1024947,61939,BMU,60
137,Bhutan,62605,21,61564,102,2303734,787941,BTN,64
62,Bolivia,1187986,22346,1146143,19497,2705422,11992656,BOL,68
92,Bosnia and Herzegovina,401384,16255,379084,6045,1884721,3249317,BIH,70
98,Botswana,329227,28,325934,493,2026898,2441162,BWA,72
5,Brazil,36824580,697074,35919372,208134,63776166,215353593,BRA,76
101,Brunei,27522,225,243601,31394,717784,445431,BRN,96
57,Bulgaria,1295426,38179,1254491,2756,10987749,6844597,BGR,100
159,Burkina Faso,22025,396,21596,33,248995,22102838,BFA,854
139,Burundi,53492,38,53394,60,345742,12624840,BDI,108
136,Cabo Verde,63229,413,62756,60,401622,567678,CPV,132
116,Cambodia,138693,3056,135624,13,3091420,17168639,KHM,116
118,Cameroon,123993,1965,118616,3412,1751774,27911548,CMR,120
32,Canada,4550256,5038,4444013,55863,66343123,38388419,CAN,124
171,CAR,15368,113,152,55,81294,5016678,CAF,140
152,Cayman Islands,31472,37,8553,22882,222773,67277,CYM,136
